snippet_id,system_name,dataset_signature,evaluation_rows,dataset_LOC
tse-001,k-9,"com.fsck.k9.mail.store.RemoteStore.getInstance(android.content.Context,com.fsck.k9.mail.store.StoreConfig)",9,36
tse-002,k-9,com.fsck.k9.mail.store.imap.ImapResponseParserTest.testFetchResponse(),9,32
tse-003,k-9,com.fsck.k9.mail.transport.SmtpTransportTest.open_withXoauth2Extension_shouldThrowOnMultipleFailure(),8,31
tse-004,k-9,com.fsck.k9.mailstore.StorageManager.StorageManager(android.content.Context),9,40
tse-005,k-9,com.fsck.k9.message.html.HtmlConverterTest.testTextQuoteToHtmlBlockquote(),9,41
tse-006,pom,"hudson.model.HealthReport.HealthReport(int,java.lang.String,org.jvnet.localizer.Localizable)",9,45
tse-007,pom,hudson.model.ViewJob._getRuns(),9,34
tse-008,pom,hudson.os.PosixAPI.get(),9,56
tse-009,pom,"hudson.util.Iterators.limit(java.util.Iterator<? extends T>,hudson.util.Iterators.CountingPredicate<? super T>)",9,42
tse-010,pom,"jenkins.util.AntClassLoader.loadClass(java.lang.String,boolean)",9,57
tse-011,car-report,"me.kuehle.carreport.gui.MainActivity.handleFABClick(int,int)",9,30
tse-012,car-report,"me.kuehle.carreport.gui.ReportFragment.showFullScreenChart(me.kuehle.carreport.data.report.AbstractReport,lecho.lib.hellocharts.view.ComboLineColumnChartView)",9,66
tse-013,car-report,me.kuehle.carreport.gui.dialog.EditFuelTypeDialogFragment.save(),9,34
tse-014,car-report,me.kuehle.carreport.gui.dialog.SetupWebDavSyncDialogActivity.onCreate(android.os.Bundle),9,49
tse-015,car-report,me.kuehle.carreport.util.sync.provider.DropboxSyncProvider.downloadFile(),9,32
tse-016,antlr4-master,"org.antlr.mojo.antlr4.GrammarDependencies.analyze(java.util.Set<java.io.File>,java.util.Set<java.io.File>,org.antlr.v4.Tool)",9,51
tse-017,antlr4-master,org.antlr.v4.gui.TestRig.process(),9,60
tse-018,antlr4-master,"org.antlr.v4.runtime.atn.PredictionMode.hasSLLConflictTerminatingPrediction(org.antlr.v4.runtime.atn.PredictionMode,org.antlr.v4.runtime.atn.ATNConfigSet)",9,126
tse-019,antlr4-master,org.antlr.v4.runtime.misc.Array2DHashSet.removeFast(T),9,30
tse-020,antlr4-master,org.antlr.v4.test.runtime.java.api.TestTokenStreamRewriter.testToStringStartStop2(),9,56
tse-021,phoenix,"org.apache.phoenix.coprocessor.MetaDataEndpointImpl.doDropSchema(long,java.lang.String,byte[],java.util.List<org.apache.hadoop.hbase.client.Mutation>,java.util.List<org.apache.phoenix.hbase.index.util.ImmutableBytesPtr>)",9,38
tse-022,phoenix,"org.apache.phoenix.expression.ModulusExpression.evaluate(org.apache.phoenix.schema.tuple.Tuple,org.apache.hadoop.hbase.io.ImmutableBytesWritable)",9,31
tse-023,phoenix,org.apache.phoenix.flume.serializer.BaseEventSerializer.configure(org.apache.flume.Context),9,49
tse-024,phoenix,org.apache.phoenix.flume.sink.PhoenixSink.process(),9,70
tse-025,phoenix,org.apache.phoenix.mapreduce.AbstractBulkLoadTool.parseOptions(java.lang.String[]),9,40
tse-026,hibernate-orm,org.hibernate.cfg.AbstractPropertyHolder.getOverriddenColumn(java.lang.String),9,49
tse-027,hibernate-orm,org.hibernate.dialect.TimesTenDialect.TimesTenDialect(),9,37
tse-028,hibernate-orm,"org.hibernate.hql.spi.id.TableBasedUpdateHandlerImpl.execute(org.hibernate.engine.spi.SharedSessionContractImplementor,org.hibernate.engine.spi.QueryParameters)",9,63
tse-029,hibernate-orm,org.hibernate.id.SequenceValueExtractor.extractSequenceValue(org.hibernate.engine.spi.SessionImplementor),9,30
tse-030,hibernate-orm,"org.hibernate.pretty.MessageHelper.collectionInfoString(org.hibernate.persister.collection.CollectionPersister,org.hibernate.collection.spi.PersistentCollection,java.io.Serializable,org.hibernate.engine.spi.SharedSessionContractImplementor)",9,47
tse-031,opencms-core,org.opencms.ade.sitemap.client.hoverbar.CmsHoverbarContextMenuButton.createContextMenu(org.opencms.ade.sitemap.client.hoverbar.CmsSitemapHoverbar),9,44
tse-032,opencms-core,"org.opencms.jlan.CmsJlanNetworkFile.seekFile(long,int)",9,35
tse-033,opencms-core,org.opencms.main.CmsShell.execute(java.io.Reader),9,70
tse-034,opencms-core,"org.opencms.test.OpenCmsTestCase.generateContent(org.opencms.file.CmsObject,java.lang.String,int,double)",9,45
tse-035,opencms-core,org.opencms.workplace.list.CmsListRadioMultiAction.buttonHtml(org.opencms.workplace.CmsWorkplace),9,34
tse-036,spring-batch,org.springframework.batch.container.jms.BatchMessageListenerContainerIntegrationTests.testFailureAndRecovery(),9,45
tse-037,spring-batch,org.springframework.batch.core.jsr.configuration.xml.JsrBeanDefinitionDocumentReaderTests.testArtifactUniqueness(),9,31
tse-038,spring-batch,org.springframework.batch.item.database.ExtendedConnectionDataSourceProxyTests.testOperationWithDirectCloseCall(),9,32
tse-039,spring-batch,org.springframework.batch.item.file.FlatFileItemReaderTests.testCustomRecordSeparatorMultilineBlankLineAfterEnd(),9,34
tse-040,spring-batch,org.springframework.batch.item.xml.StaxEventItemWriterTests.initWriterForSimpleCallbackTests(),9,34
tse-041,MyExpenses,"org.totschnig.myexpenses.activity.MyExpenses.contribFeatureCalled(org.totschnig.myexpenses.model.ContribFeature,java.io.Serializable)",8,43
tse-042,MyExpenses,"org.totschnig.myexpenses.sync.SyncAdapter.getContentProviderOperationsForCreate(org.totschnig.myexpenses.sync.json.TransactionChange,int,int)",8,64
tse-043,MyExpenses,"org.totschnig.myexpenses.sync.SyncAdapter.mergeUpdate(org.totschnig.myexpenses.sync.json.TransactionChange,org.totschnig.myexpenses.sync.json.TransactionChange)",8,46
tse-044,MyExpenses,"org.totschnig.myexpenses.util.LazyFontSelector.processChar(char[],int,java.lang.StringBuffer)",8,45
tse-045,MyExpenses,se.emilsjolander.stickylistheaders.StickyListHeadersListView.updateOrClearHeader(int),8,31
tse-046,weka-dev,"weka.estimators.CheckEstimator.printAttributeSummary(int,int)",9,49
tse-047,weka-dev,"weka.estimators.EstimatorUtils.getMinMax(weka.core.Instances,int,double[])",9,50
tse-048,weka-dev,weka.gui.beans.ClassifierPerformanceEvaluatorCustomizer.addButtons(),9,43
tse-049,weka-dev,weka.gui.beans.ModelPerformanceChart.performRequest(java.lang.String),9,47
tse-050,weka-dev,weka.gui.experiment.GeneratorPropertyIteratorPanel.actionPerformed(java.awt.event.ActionEvent),9,40
